ASIN 或商品=["B0DHPN1DMJ"],报告范围=["每月"],选择年份=["2025"],选择月份=["12 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"ikarao shell","71","196","5299","352","6.64","96","48.98","47","48.96","249.99","223.99","4","11","24","15","7.65","7","46.67","249.99","249.99","0","2","3","5","2.55","2","40.0","223.99","223.99","0","2","0","2025-12-31"
"home party karaoke machine","53","4528","97082","3215","3.31","2574","56.85","31","1.2","66.49","223.99","154","408","544","691","15.26","7","1.01","59.99","223.99","53","119","151","202","4.46","1","0.5","59.99","223.99","15","40","44","2025-12-31"
"karaoke with lyrics on screen","28","5341","108621","9261","8.53","519","9.72","18","3.47","99.99","223.99","26","63","107","74","1.39","2","2.7","123.48","223.99","4","9","18","15","0.28","1","6.67","89.99","223.99","1","2","6","2025-12-31"
"karaoke machine portable adults","62","2448","54487","2776","5.09","718","29.33","20","2.79","63.99","223.99","49","146","138","114","4.66","6","5.26","63.99","223.99","12","27","23","36","1.47","1","2.78","63.99","223.99","8","9","8","2025-12-31"
"karaoke tv","94","1197","29881","1140","3.82","361","30.16","10","2.77","94.99","223.99","19","67","65","56","4.68","4","7.14","79.99","234.14","3","11","11","10","0.84","2","20.0","59.99","223.99","2","3","2","2025-12-31"
"singing machine karaoke","17","14626","345807","10452","3.02","4729","32.33","68","1.44","79.99","223.99","181","638","1142","1016","6.95","13","1.28","63.99","223.99","55","165","254","305","2.09","2","0.66","59.99","223.99","18","75","88","2025-12-31"
"ikaro","79","334","6433","478","7.43","122","36.53","38","31.15","249.99","223.99","8","17","24","14","4.19","3","21.43","332.49","223.99","1","1","2","6","1.8","3","50.0","223.99","223.99","1","0","0","2025-12-31"
"karaoke that hooks up to the tv","90","1079","40046","1573","3.93","383","35.5","12","3.13","89.99","223.99","20","72","90","57","5.28","3","5.26","79.99","223.99","7","10","16","22","2.04","2","9.09","123.48","223.99","3","6","5","2025-12-31"
"karaoke machine connect to tv","25","3710","97537","4584","4.7","1546","41.67","89","5.76","88.79","223.99","109","282","370","290","7.82","9","3.1","75.99","223.99","22","53","81","91","2.45","5","5.49","82.89","223.99","9","22","30","2025-12-31"
"kareoke machine","20","6131","167448","7172","4.28","2527","41.22","54","2.14","59.99","223.99","167","481","540","816","13.31","10","1.23","59.99","223.99","67","178","186","276","4.5","5","1.81","59.99","223.99","23","72","68","2025-12-31"
