ASIN 或商品=["B0FNCQW2K3"],报告范围=["每月"],选择年份=["2025"],选择月份=["11 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"professional karaoke machine for adults with lyric display","43","2","40","2","5.0","2","100.0","2","100.0","170.99","170.99","0","2","0","1","50.0","1","100.0","170.99","170.99","0","1","0","1","50.0","1","100.0","170.99","170.99","0","1","0","2025-11-30"
"portable karaoke machine adults","73","499","10594","100","0.94","282","56.51","3","1.06","58.99","179.99","29","79","90","70","14.03","2","2.86","53.68","170.99","10","21","20","8","1.6","0","0.0","53.68",,"2","3","0","2025-11-30"
"karaoke machine lyrics display","40","491","12006","303","2.52","218","44.4","8","3.67","74.99","170.99","10","77","73","33","6.72","2","6.06","99.99","170.99","1","14","11","2","0.41","0","0.0","61.71",,"0","2","0","2025-11-30"
"professional karaoke machine for adults","72","1716","45563","357","0.78","526","30.65","3","0.57","237.99","170.99","26","97","130","82","4.78","1","1.22","191.99","179.99","9","15","13","10","0.58","0","0.0","129.99",,"3","2","1","2025-11-30"
"karaoke machine with display screen","70","248","6101","193","3.16","124","50.0","9","7.26","129.99","170.99","3","21","38","17","6.85","1","5.88","159.99","179.99","0","3","1","0","0.0","0",,,,"0","0","0","2025-11-30"
"karaoke s3 hdmi","58","1","19","1","5.26","1","100.0","1","100.0","170.99","170.99","0","0","0","1","100.0","1","100.0","170.99","170.99","0","0","0","1","100.0","1","100.0","170.99","170.99","0","0","0","2025-11-30"
"karaoke machine with lyrics display screen","81","393","10007","274","2.74","142","36.13","3","2.11","99.99","170.99","13","31","44","19","4.83","1","5.26","76.99","170.99","2","5","5","4","1.02","0","0.0","64.96",,"1","1","0","2025-11-30"
"karaoke system for adults","36","350","7820","119","1.52","91","26.0","3","3.3","124.99","170.99","6","16","27","16","4.57","1","6.25","108.27","170.99","2","2","3","2","0.57","1","50.0","129.99","170.99","0","1","1","2025-11-30"
"ikarao shell s3","22","344","8098","267","3.3","199","57.85","15","7.54","159.98","170.99","7","35","63","23","6.69","2","8.7","159.97","170.99","2","4","5","13","3.78","1","7.69","159.97","170.99","2","1","3","2025-11-30"
"karaoke machine","3","651722","15226733","19750","0.13","255659","39.23","186","0.07","53.68","170.99","27092","82147","62944","73147","11.22","25","0.03","53.68","170.99","9421","25084","17444","16609","2.55","8","0.05","53.68","170.99","2724","6044","3801","2025-11-30"
"bluetooth karaoke machine with screen","42","955","21896","313","1.43","518","54.24","6","1.16","64.96","170.99","46","148","136","118","12.36","2","1.69","56.51","170.99","10","36","30","21","2.2","0","0.0","61.71",,"2","6","4","2025-11-30"
"karaoke machine with screen lyrics display and wireless microphone","87","179","3766","118","3.13","109","60.89","4","3.67","83.99","175.0","5","29","40","28","15.64","1","3.57","57.59","179.99","2","8","11","4","2.23","0","0.0","64.96",,"0","2","1","2025-11-30"
"karaoke machine with screen lyrics","44","150","3215","112","3.48","40","26.67","4","10.0","149.99","179.99","1","3","13","6","4.0","3","50.0","219.99","219.99","0","0","0","0","0.0","0",,,,"0","0","0","2025-11-30"
"home karaoke system for tv","82","611","15206","295","1.94","232","37.97","2","0.86","101.96","170.99","19","73","62","41","6.71","1","2.44","99.99","179.99","3","21","4","8","1.31","0","0.0","99.99",,"1","4","2","2025-11-30"
"karaoke machine with screen hdmi","26","19","693","18","2.6","13","68.42","7","53.85","170.99","179.99","4","1","4","4","21.05","3","75.0","170.99","179.99","0","1","2","1","5.26","1","100.0","179.99","179.99","0","1","0","2025-11-30"
"ikarao shell s3 pro","56","1","2","1","50.0","1","100.0","1","100.0","170.99","170.99","0","0","1","1","100.0","1","100.0","170.99","170.99","0","0","1","1","100.0","1","100.0","170.99","170.99","0","0","1","2025-11-30"
"ikarao shell s3 karaoke machine","69","51","1371","49","3.57","29","56.86","6","20.69","159.98","170.99","3","6","6","7","13.73","2","28.57","151.99","170.99","0","0","1","2","3.92","0","0.0","151.99",,"0","0","0","2025-11-30"
"karaoke machine hdmi","62","471","12410","336","2.71","240","50.96","8","3.33","103.99","170.99","21","55","82","28","5.94","1","3.57","109.99","179.99","2","9","11","7","1.49","0","0.0","225.24",,"0","1","4","2025-11-30"
"ikarao shell s3 with hdmi","12","29","368","28","7.61","15","51.72","11","73.33","170.99","170.99","0","4","5","6","20.69","6","100.0","170.99","170.99","0","2","3","2","6.9","2","100.0","170.99","170.99","0","0","2","2025-11-30"
"karaoke machine with hdmi output","17","307","8726","239","2.74","141","45.93","11","7.8","109.0","170.99","5","34","49","12","3.91","4","33.33","170.99","170.99","0","2","8","2","0.65","1","50.0","64.96","170.99","0","0","2","2025-11-30"
"portable karaoke machine with lyrics display","97","139","3469","90","2.59","53","38.13","3","5.66","99.99","170.99","9","15","23","8","5.76","1","12.5","64.96","170.99","1","2","5","0","0.0","0",,,,"0","0","0","2025-11-30"
"karaoke portable systems","74","1276","38852","569","1.46","367","28.76","4","1.09","79.99","175.0","21","99","112","62","4.86","0","0.0","64.99",,"4","21","15","15","1.18","0","0.0","99.99",,"1","6","4","2025-11-30"
"home karaoke system","91","1918","50351","461","0.92","676","35.25","1","0.15","101.96","170.99","70","189","159","126","6.57","0","0.0","74.99",,"22","42","27","23","1.2","0","0.0","61.71",,"4","9","6","2025-11-30"
"karaoke machine that connects to tv","93","922","24792","364","1.47","465","50.43","3","0.65","76.99","179.99","30","169","153","83","9.0","0","0.0","59.99",,"5","29","27","16","1.74","0","0.0","59.99",,"1","5","7","2025-11-30"
"karaoke machine for adults","1","253344","5858097","27945","0.48","103927","41.02","215","0.21","69.99","170.99","11166","32335","26044","26439","10.44","41","0.16","58.38","170.99","3477","9239","6418","5905","2.33","8","0.14","56.51","170.99","962","2287","1320","2025-11-30"
"ikarao smart karaoke machine","67","498","13939","465","3.34","198","39.76","9","4.55","332.49","170.99","10","55","78","35","7.03","0","0.0","332.49",,"5","8","18","21","4.22","0","0.0","349.97",,"4","4","10","2025-11-30"
"karaoke machine with lyric screen","35","178","3956","122","3.08","62","34.83","3","4.84","134.22","170.99","6","6","12","14","7.87","1","7.14","159.99","219.99","0","1","7","3","1.69","1","33.33","219.99","219.99","0","0","2","2025-11-30"
"karaoke machine built in screen","86","153","3809","122","3.2","67","43.79","4","5.97","151.99","170.99","2","17","11","7","4.58","1","14.29","170.99","170.99","1","2","2","3","1.96","0","0.0","199.99",,"1","1","1","2025-11-30"
"karaoke for adults","79","2301","59405","316","0.53","748","32.51","2","0.27","56.51","179.99","82","238","195","166","7.21","1","0.6","53.68","179.99","22","45","49","20","0.87","0","0.0","53.68",,"1","6","9","2025-11-30"
"karaoke machine ikarao","13","290","7328","250","3.41","104","35.86","14","13.46","234.14","170.99","9","18","41","23","7.93","3","13.04","234.14","170.99","1","3","12","11","3.79","2","18.18","234.14","170.99","1","1","6","2025-11-30"
"ikarao karaoke machine review","50","13","748","3","0.4","6","46.15","1","16.67","234.14","170.99","0","2","1","1","7.69","1","100.0","170.99","170.99","0","0","0","1","7.69","1","100.0","170.99","170.99","0","0","0","2025-11-30"
